n1,n2,id,weight,sub
A_e_pure
sauerampfer,weißbrot,sauerampfer--weißbrot,1,A
sauerampfer,zwieback,sauerampfer--zwieback,1,A
wirsing,fleischbrühe,fleischbrühe--wirsing,1,A
wirsing,ente,ente--wirsing,1,A
wirsing,speck,speck--wirsing,1,A
sauerkraut,hecht,hecht--sauerkraut,1,A
sauerkraut,schweineschmalz,sauerkraut--schweineschmalz,3,A
sauerkraut,beeren,beeren--sauerkraut,1,A
sauerkraut,zwieback,sauerkraut--zwieback,1,A
sauerkraut,schweinefleisch,sauerkraut--schweinefleisch,1,A
sauerkraut,gewürz,gewürz--sauerkraut,1,A
sauerkraut,brühe,brühe--sauerkraut,2,A
sauerkraut,krebs,krebs--sauerkraut,1,A
sauerkraut,wacholder,sauerkraut--wacholder,1,A
wacholder,schweineschmalz,schweineschmalz--wacholder,1,A
wacholder,brühe,brühe--wacholder,1,A
weißbrot,rindfleisch,rindfleisch--weißbrot,3,A
weißbrot,rauchfleisch,rauchfleisch--weißbrot,1,A
weißbrot,kalbfleisch,kalbfleisch--weißbrot,3,A
weißbrot,gelbe_erbsen,gelbe_erbsen--weißbrot,1,A
weißbrot,speck,speck--weißbrot,1,A
weißbrot,schinken,schinken--weißbrot,1,A
weißbrot,weißkohl,weißbrot--weißkohl,1,A
weißbrot,zwieback,weißbrot--zwieback,5,A
weißbrot,fleischbrühe,fleischbrühe--weißbrot,7,A
weißbrot,wein,wein--weißbrot,2,A
weißbrot,stubenküken,stubenküken--weißbrot,1,A
weißbrot,nierenfett,nierenfett--weißbrot,5,A
weißbrot,bratenjus,bratenjus--weißbrot,1,A
weißbrot,taube,taube--weißbrot,1,A
weißbrot,bratwurst,bratwurst--weißbrot,1,A
weißbrot,krebs,krebs--weißbrot,2,A
wein,nierenfett,nierenfett--wein,2,A
wein,bratfett,bratfett--wein,1,A
wein,kalbfleisch,kalbfleisch--wein,2,A
wein,rotkohl,rotkohl--wein,1,A
wein,nelke,nelke--wein,1,A
wein,fleischbrühe,fleischbrühe--wein,2,A
wein,krebs,krebs--wein,1,A
birne,weinessig,birne--weinessig,1,A
birne,schinken,birne--schinken,1,A
hering,schinken,hering--schinken,1,A
bratenjus,fleischbrühe,bratenjus--fleischbrühe,2,A
bratenjus,bratwurst,bratenjus--bratwurst,1,A
saure_sahne,schmalz,saure_sahne--schmalz,1,A
saure_sahne,speck,saure_sahne--speck,1,A
weinessig,fleischbrühe,fleischbrühe--weinessig,1,A
weinessig,wurzeln,weinessig--wurzeln,1,A
krebs,rindfleisch,krebs--rindfleisch,1,A
krebs,kalbfleisch,kalbfleisch--krebs,1,A
krebs,schweineschmalz,krebs--schweineschmalz,1,A
krebs,zwieback,krebs--zwieback,1,A
krebs,fleischbrühe,fleischbrühe--krebs,2,A
krebs,gewürz,gewürz--krebs,1,A
krebs,stubenküken,krebs--stubenküken,2,A
krebs,nierenfett,krebs--nierenfett,2,A
krebs,hecht,hecht--krebs,1,A
krebs,beeren,beeren--krebs,1,A
krebs,taube,krebs--taube,1,A
krebs,brühe,brühe--krebs,1,A
rauchfleisch,rindfleisch,rauchfleisch--rindfleisch,1,A
rauchfleisch,zwieback,rauchfleisch--zwieback,1,A
rauchfleisch,schinken,rauchfleisch--schinken,1,A
ottersberger_rüben,fleischbrühe,fleischbrühe--ottersberger_rüben,1,A
speck,gänsefett,gänsefett--speck,1,A
speck,schweineschmalz,schweineschmalz--speck,1,A
speck,bratwurst,bratwurst--speck,1,A
speck,weißkohl,speck--weißkohl,1,A
speck,fleischbrühe,fleischbrühe--speck,1,A
speck,zwieback,speck--zwieback,1,A
speck,ente,ente--speck,1,A
speck,hafergrütze,hafergrütze--speck,1,A
speck,brühe,brühe--speck,1,A
rotkohl,nelke,nelke--rotkohl,1,A
rotkohl,bratfett,bratfett--rotkohl,1,A
schwarzwurzel,fleischbrühe,fleischbrühe--schwarzwurzel,1,A
schwarzwurzel,zwieback,schwarzwurzel--zwieback,1,A
schinken,rindfleisch,rindfleisch--schinken,1,A
schinken,zwieback,schinken--zwieback,1,A
weißkohl,gänsefett,gänsefett--weißkohl,2,A
weißkohl,rindfleisch,rindfleisch--weißkohl,2,A
weißkohl,nierenfett,nierenfett--weißkohl,1,A
weißkohl,bratfett,bratfett--weißkohl,1,A
weißkohl,schweineschmalz,schweineschmalz--weißkohl,1,A
weißkohl,bratwurst,bratwurst--weißkohl,1,A
weißkohl,nelke,nelke--weißkohl,1,A
weißkohl,fleischbrühe,fleischbrühe--weißkohl,1,A
weißkohl,hafergrütze,hafergrütze--weißkohl,1,A
weißkohl,brühe,brühe--weißkohl,1,A
gewürz,zwieback,gewürz--zwieback,1,A
gewürz,hecht,gewürz--hecht,1,A
gewürz,schweineschmalz,gewürz--schweineschmalz,1,A
gewürz,brühe,brühe--gewürz,1,A
gewürz,beeren,beeren--gewürz,1,A
stubenküken,rindfleisch,rindfleisch--stubenküken,1,A
stubenküken,taube,stubenküken--taube,1,A
stubenküken,nierenfett,nierenfett--stubenküken,1,A
hecht,zwieback,hecht--zwieback,1,A
hecht,schweineschmalz,hecht--schweineschmalz,1,A
hecht,brühe,brühe--hecht,1,A
hecht,beeren,beeren--hecht,1,A
artischocke,austern,artischocke--austern,1,A
artischocke,senf,artischocke--senf,1,A
stielmus,schweineschmalz,schweineschmalz--stielmus,1,A
stielmus,brühe,brühe--stielmus,1,A
hafergrütze,gänsefett,gänsefett--hafergrütze,1,A
hafergrütze,bratwurst,bratwurst--hafergrütze,1,A
hafergrütze,brühe,brühe--hafergrütze,1,A
portulak,fleischbrühe,fleischbrühe--portulak,1,A
