n,i-name,i-class,occ,sub
estragon,Estragon,herb,3,B
zucchini,Zucchini,veg,1,B
fischsauce,Fischsauce,condi,4,B
ingwer,Ingwer,spice,21,B
gemüsegurke,Gemüsegurke,veg,1,A
schafskäse,Schafskäse,milk,2,B
schwarze_bohnen,Schwarze_Bohnen,veg,1,B
zimt,Zimt,spice,10,AB
gänsefett,Gänsefett,fat,3,A
senf,Senf,condi,3,A
wirsing,Wirsing,veg,2,A
brunnenkresse,Brunnenkresse,veg,1,B
ziegenfrischkäse,Ziegenfrischkäse,milk,3,B
piment,Piment,spice,2,AB
zwieback,Zwieback,carb,24,A
ei,Ei,egg,44,AB
schmalz,Schmalz,fat,1,A
habanero,Habanero,spice,1,B
chipotle,Chipotle,spice,1,B
pinkelwurst,Pinkelwurst,meat,1,A
bockshornklee,Bockshornklee,herb,1,B
zuckerschoten,Zuckerschoten,veg,2,AB
cajunmischung,Cajunmischung,spice,1,B
speck,Speck,meat,7,A
kirschtomaten,Kirschtomaten,veg,9,B
rucola,Rucola,veg,1,B
weinessig,Weinessig,condi,2,A
beeren,Beeren,fruit,1,A
maismehl,Maismehl,carb,2,B
sumach,Sumach,spice,1,B
berbere,Berbere,spice,1,B
taube,Taube,meat,1,A
tahina,Tahina,condi,5,B
granatapfel,Granatapfel,fruit,1,B
brühe,Brühe,condi,5,A
feldsalat,Feldsalat,veg,1,B
linsen,Linsen,veg,3,AB
knoblauch,Knoblauch,onion,73,B
rosmarin,Rosmarin,herb,1,B
kalbfleisch,Kalbfleisch,meat,3,A
hefe,Hefe,etc,2,AB
tomatenmark,Tomatenmark,condi,13,B
milch,Milch,milk,16,AB
weintrauben,Weintrauben,fruit,1,B
cheddar,Cheddar,milk,1,B
schalotten,Schalotten,onion,17,B
szechuanpfeffer,Szechuanpfeffer,spice,3,B
büffelmozzarella,Büffelmozzarella,milk,1,B
galgant,Galgant,spice,1,B
rohrzucker,Rohrzucker,sweet,2,B
parmesan,Parmesan,milk,8,B
weißwein,Weißwein,alc,1,B
feige,Feige,fruit,1,B
ricotta,Ricotta,milk,3,B
mirin,Mirin,condi,5,B
wurzeln,Wurzeln,veg,1,A
