id,n1,n2,weight,sub
basilikum--zucchini,basilikum,zucchini,1,A
basilikum--olivenöl,basilikum,olivenöl,2,A
basilikum--mozzarella,basilikum,mozzarella,1,A
basilikum--tomate,basilikum,tomate,1,A
basilikum--ravioli,basilikum,ravioli,1,A
basilikum--knoblauch,basilikum,knoblauch,1,A
basilikum--pfeffer,basilikum,pfeffer,1,A
basilikum--weißwein,basilikum,weißwein,1,A
basilikum--hefe,basilikum,hefe,1,A
basilikum--streuwürze,basilikum,streuwürze,1,A
basilikum--weizenmehl,basilikum,weizenmehl,1,A
brot--zwetschge,brot,zwetschge,1,A
brot--muskat,brot,muskat,1,A
brot--zwiebel,brot,zwiebel,3,A
brot--gewürzgurke,brot,gewürzgurke,1,A
brot--weinbrand,brot,weinbrand,1,A
brot--gans,brot,gans,1,A
bratwurst--brot,brot,bratwurst,1,A
brot--lorbeer,brot,lorbeer,1,A
brot--schinken,brot,schinken,2,A
brot--pfeffer,brot,pfeffer,4,A
brot--fleischbrühe,brot,fleischbrühe,4,A
brot--weizenmehl,brot,weizenmehl,3,A
apfel--brot,brot,apfel,1,A
brot--essig,brot,essig,1,A
brot--sahne,brot,sahne,1,A
brot--zucker,brot,zucker,1,A
brot--hackfleisch,brot,hackfleisch,1,A
brot--marone,brot,marone,1,A
brot--kirschen,brot,kirschen,1,A
brot--tomate,brot,tomate,1,A
ananas--brot,brot,ananas,1,A
brot--knoblauch,brot,knoblauch,1,A
brot--wacholder,brot,wacholder,1,A
brot--schnittlauch,brot,schnittlauch,2,A
brot--ei,brot,ei,4,A
brot--spinat,brot,spinat,1,A
brot--butter,brot,butter,2,A
brot--zimt,brot,zimt,1,A
gemüsemischung--karotte,gemüsemischung,karotte,1,A
gemüsemischung--pflanzenfett,gemüsemischung,pflanzenfett,1,A
gemüsemischung--kaninchen,gemüsemischung,kaninchen,1,A
gemüsemischung--zwiebel,gemüsemischung,zwiebel,1,A
gemüsemischung--speck,gemüsemischung,speck,1,A
gemüsemischung--lorbeer,gemüsemischung,lorbeer,1,A
gemüsemischung--pfeffer,gemüsemischung,pfeffer,1,A
gemüsemischung--rosmarin,gemüsemischung,rosmarin,1,A
gemüsemischung--weizenmehl,gemüsemischung,weizenmehl,1,A
gemüsemischung--koriander,gemüsemischung,koriander,1,A
gemüsemischung--wacholder,gemüsemischung,wacholder,1,A
gemüsemischung--knollensellerie,gemüsemischung,knollensellerie,1,A
gemüsemischung--rotwein,gemüsemischung,rotwein,1,A
gemüsemischung--tomatenmark,gemüsemischung,tomatenmark,1,A
gemüsemischung--pfifferlinge,gemüsemischung,pfifferlinge,1,A
essig--rote_bete,rote_bete,essig,1,A
pfeffer--rote_bete,rote_bete,pfeffer,1,A
muskat--rote_bete,rote_bete,muskat,1,A
rote_bete--zwiebel,rote_bete,zwiebel,1,A
muskat--senf,senf,muskat,1,A
senf--zwiebel,senf,zwiebel,3,A
milch--senf,senf,milch,1,A
karotte--senf,senf,karotte,1,A
lauch--senf,senf,lauch,1,A
senf--speck,senf,speck,1,A
pfeffer--senf,senf,pfeffer,5,A
senf--wurst,senf,wurst,1,A
mayonnaise--senf,senf,mayonnaise,1,A
senf--wein,senf,wein,1,A
fleischbrühe--senf,senf,fleischbrühe,1,A
rosmarin--senf,senf,rosmarin,1,A
apfel--senf,senf,apfel,1,A
senf--stärke,senf,stärke,1,A
majoran--senf,senf,majoran,1,A
sahne--senf,senf,sahne,1,A
petersilie--senf,senf,petersilie,1,A
senf--zucker,senf,zucker,3,A
essig--senf,senf,essig,1,A
gurke--senf,senf,gurke,1,A
olivenöl--senf,senf,olivenöl,1,A
kartoffel--senf,senf,kartoffel,1,A
knollensellerie--senf,senf,knollensellerie,2,A
