n,i-name,i-class,occ,sub
basilikum,Basilikum,herb,2,A
brot,Brot,carb,7,A
gemüsemischung,Gemüsemischung,veg,1,A
rote_bete,Rote_Bete,veg,1,A
senf,Senf,condi,5,A
reis,Reis,carb,4,A
pfeffer,Pfeffer,spice,56,A
weißwein,Weißwein,alc,6,A
grüne_bohnen,Grüne_Bohnen,veg,2,A
weizenmehl,Weizenmehl,carb,22,A
salat,Salat,veg,1,A
koriander,Koriander,spice,1,A
paniermehl,Paniermehl,carb,2,A
olivenöl,Olivenöl,fat,10,A
kirschen,Kirschen,fruit,1,A
knoblauch,Knoblauch,onion,11,A
paprika,Paprika,veg,5,A
nelke,Nelke,spice,3,A
haferflocken,Haferflocken,carb,2,A
estragon,Estragon,herb,2,A
leber,Leber,meat,1,A
sauerkraut,Sauerkraut,veg,4,A
kapern,Kapern,spice,1,A
honig,Honig,sweet,1,A
zwiebel,Zwiebel,onion,44,A
lammfleisch,Lammfleisch,meat,3,A
kalbfleisch,Kalbfleisch,meat,2,A
weinbrand,Weinbrand,alc,3,A
pilze,Pilze,veg,1,A
lorbeer,Lorbeer,herb,19,A
madeira,Madeira,alc,1,A
spinat,Spinat,veg,2,A
schweineschmalz,Schweineschmalz,fat,2,A
schnauze,Schnauze,meat,1,A
rosmarin,Rosmarin,herb,3,A
stärke,Stärke,etc,4,A
zucker,Zucker,sweet,7,A
sardelle,Sardellen,fish,1,A
tomate,Tomate,veg,12,A
ananas,Ananas,fruit,1,A
maggi,Maggi,condi,3,A
petersilienwurzel,Petersilienwurzel,veg,1,A
weißbrot,Weißbrot,carb,3,A
rotwein,Rotwein,alc,9,A
zitronenmelisse,Zitronenmelisse,herb,1,A
wildschwein,Wildschwein,meat,2,A
linsen,Linsen,veg,1,A
zwetschge,Zwetschge,fruit,1,A
olive,Olive,spice,2,A
ravioli,Ravioli,condi,1,A
curry,Curry,spice,2,A
speck,Speck,meat,12,A
fleisch,Fleisch,meat,4,A
orangenschale,Orangenschale,fruit,2,A
schinken,Schinken,meat,9,A
schweinefleisch,Schweinefleisch,meat,4,A
schmalz,Schmalz,fat,5,A
majoran,Majoran,herb,7,A
fisch,Fisch,fish,3,A
marone,Marone,nuts,1,A
kohlrabi,Kohlrabi,veg,1,A
zitrone,Zitrone,fruit,7,A
tabasco,Tabasco,condi,1,A
orangenlikör,Orangenlikör,alc,1,A
suppenwürze,Suppenwürze,condi,3,A
kompott,Kompott,fruit,1,A
butterschmalz,Butterschmalz,fat,2,A
oregano,Oregano,herb,5,A
bohnenkraut,Bohnenkraut,herb,2,A
fleischsalat,Fleischsalat,meat,1,A
schnittlauch,Schnittlauch,onion,8,A
zicklein,Zicklein,meat,1,A
piment,Piment,spice,2,A
tintenfisch,Tintenfisch,fish,1,A
kümmel,Kümmel,spice,2,A
kräuter,Kräuter,herb,1,A
gewürzgurke,Gewürzgurken,condi,3,A
mozzarella,Mozzarella,milk,3,A
tomatensauce,Tomatensauce,etc,1,A
hering,Hering,fish,6,A
aal,Aal,fish,1,A
wein,Wein,alc,2,A
fleischbrühe,Fleischbrühe,condi,15,A
apfel,Apfel,fruit,4,A
zucchini,Zucchini,veg,1,A
löwenzahn,Löwenzahn,veg,1,A
kaviar,Kaviar,fish,1,A
käse,Käse,milk,5,A
kalbskopf,Kalbskopf,meat,1,A
pfoten,Pfoten,meat,1,A
huhn,Huhn,meat,1,A
nudeln,Nudeln,carb,1,A
schmand,Schmand,milk,1,A
schweinemett,Mett,meat,1,A
gans,Gans,meat,1,A
räucherspeck,Räucherspeck,meat,1,A
knochen,Knochen,meat,2,A
hase,Hase,meat,1,A
erbsen,Erbsen,veg,2,A
orange,Orange,fruit,1,A
niere,Niere,meat,1,A
hühnerbrühe,Hühnerbrühe,condi,2,A
radieschen,Radieschen,veg,2,A
limburger,Limburger,milk,1,A
orangensaft,Orangensaft,fruit,1,A
weißweinessig,Weißweinessig,condi,1,A
gemüsebrühe,Gemüsebrühe,condi,4,A
ohren,Ohren,meat,1,A
räucherfisch,Räucherfisch,fish,1,A
senfsamen,Senfsamen,spice,1,A
rindfleisch,Rindfleisch,meat,6,A
rehundhirsch,Reh_und_Hirsch,meat,2,A
pflanzenfett,Pflanzenfett,fat,6,A
ketchup,Ketchup,condi,1,A
dill,Dill,herb,2,A
paprikapulver,Paprikapulver,spice,1,A
obstessig,Obstessig,condi,1,A
liebstöckel,Liebstöckel,herb,1,A
stockfisch,Stockfisch,fish,1,A
essig,Essig,condi,13,A
blätterteig,Blätterteig,carb,1,A
matjes,Matjes,fish,1,A
kartoffel,Kartoffel,carb,10,A
spargel,Spargel,veg,2,A
bohnen,Bohnen,veg,1,A
bier,Bier,alc,1,A
milch,Milch,milk,5,A
lauch,Lauch,veg,7,A
suppengemüse,Suppengemüse,veg,9,A
wurst,Wurst,meat,3,A
hartweizengrieß,Hartweizengrieß,carb,1,A
graupen,Graupen,carb,1,A
birne,Birne,fruit,1,A
kabeljau,Kabeljau,fish,1,A
lachs,Lachs,fish,1,A
sahne,Sahne,milk,19,A
gurke,Gurke,veg,5,A
cayennepfeffer,Cayennepfeffer,spice,2,A
blumenkohl,Blumenkohl,veg,1,A
hefewürze,Hefewürze,condi,1,A
knollensellerie,Knollensellerie,veg,12,A
bechamel,Bechamelsauce,condi,1,A
thymian,Thymian,herb,5,A
tomatenmark,Tomatenmark,condi,7,A
pfifferlinge,Pfifferlinge,veg,3,A
steckrübe,Steckrübe,veg,1,A
muscheln,Muscheln,fish,1,A
blutwurst,Blutwurst,meat,2,A
zimt,Zimt,spice,1,A
muskat,Muskat,spice,11,A
karotte,Karotte,veg,7,A
kaninchen,Kaninchen,meat,1,A
ente,Ente,meat,1,A
bratwurst,Bratwurst,meat,1,A
mayonnaise,Mayonnaise,condi,3,A
krabben,Krabben,fish,1,A
streuwürze,Streuwürze,spice,1,A
backpflaume,Backpflaume,fruit,1,A
petersilie,Petersilie,herb,14,A
hackfleisch,Hackfleisch,meat,4,A
wacholder,Wacholder,spice,11,A
champignon,Champignon,veg,3,A
blut,Blut,meat,1,A
ei,Ei,egg,22,A
leberwurst,Leberwurst,meat,2,A
hefe,Hefe,etc,5,A
herbes_de_provence,Herbes_de_Provence,herb,1,A
butter,Butter,fat,13,A
lauchzwiebel,Lauchzwiebel,onion,1,A
brühe,Brühe,condi,4,A
