id,n1,n2,weight,sub
knoblauch--zwiebel,zwiebel,knoblauch,1,A
kapern--zwiebel,zwiebel,kapern,1,A
tonkabohne--zwiebel,zwiebel,tonkabohne,1,A
tomate--zwiebel,zwiebel,tomate,1,A
thymian--zwiebel,zwiebel,thymian,1,A
karotte--zwiebel,zwiebel,karotte,1,A
tomatenmark--zwiebel,zwiebel,tomatenmark,1,A
rosmarin--zwiebel,zwiebel,rosmarin,1,A
nudeln--zwiebel,zwiebel,nudeln,1,A
olivenöl--zwiebel,zwiebel,olivenöl,1,A
kapern--knoblauch,knoblauch,kapern,1,A
knoblauch--tonkabohne,knoblauch,tonkabohne,1,A
knoblauch--tomate,knoblauch,tomate,1,A
knoblauch--thymian,knoblauch,thymian,1,A
karotte--knoblauch,knoblauch,karotte,1,A
knoblauch--tomatenmark,knoblauch,tomatenmark,1,A
knoblauch--rosmarin,knoblauch,rosmarin,1,A
knoblauch--nudeln,knoblauch,nudeln,1,A
knoblauch--olivenöl,knoblauch,olivenöl,1,A
kapern--tonkabohne,kapern,tonkabohne,1,A
kapern--tomate,kapern,tomate,1,A
kapern--thymian,kapern,thymian,1,A
kapern--karotte,kapern,karotte,1,A
kapern--tomatenmark,kapern,tomatenmark,1,A
kapern--rosmarin,kapern,rosmarin,1,A
kapern--nudeln,kapern,nudeln,1,A
kapern--olivenöl,kapern,olivenöl,1,A
tomate--tonkabohne,tonkabohne,tomate,1,A
thymian--tonkabohne,tonkabohne,thymian,1,A
karotte--tonkabohne,tonkabohne,karotte,1,A
tomatenmark--tonkabohne,tonkabohne,tomatenmark,1,A
rosmarin--tonkabohne,tonkabohne,rosmarin,1,A
nudeln--tonkabohne,tonkabohne,nudeln,1,A
olivenöl--tonkabohne,tonkabohne,olivenöl,1,A
thymian--tomate,tomate,thymian,1,A
karotte--tomate,tomate,karotte,1,A
tomate--tomatenmark,tomate,tomatenmark,1,A
rosmarin--tomate,tomate,rosmarin,1,A
nudeln--tomate,tomate,nudeln,1,A
olivenöl--tomate,tomate,olivenöl,1,A
karotte--thymian,thymian,karotte,1,A
thymian--tomatenmark,thymian,tomatenmark,1,A
rosmarin--thymian,thymian,rosmarin,1,A
nudeln--thymian,thymian,nudeln,1,A
olivenöl--thymian,thymian,olivenöl,1,A
karotte--tomatenmark,karotte,tomatenmark,1,A
karotte--rosmarin,karotte,rosmarin,1,A
karotte--nudeln,karotte,nudeln,1,A
karotte--olivenöl,karotte,olivenöl,1,A
rosmarin--tomatenmark,tomatenmark,rosmarin,1,A
nudeln--tomatenmark,tomatenmark,nudeln,1,A
olivenöl--tomatenmark,tomatenmark,olivenöl,1,A
nudeln--rosmarin,rosmarin,nudeln,1,A
olivenöl--rosmarin,rosmarin,olivenöl,1,A
nudeln--olivenöl,nudeln,olivenöl,1,A
