id,n1,n2,weight,sub
hefe--steinpilz,steinpilz,hefe,1,A
pfeffer--steinpilz,steinpilz,pfeffer,1,A
steinpilz--zwiebel,steinpilz,zwiebel,1,A
steinpilz--weizenmehl,steinpilz,weizenmehl,1,A
majoran--steinpilz,steinpilz,majoran,1,A
kräuter--steinpilz,steinpilz,kräuter,1,A
pflanzenfett--steinpilz,steinpilz,pflanzenfett,1,A
steinpilz--zucker,steinpilz,zucker,1,A
crème--steinpilz,steinpilz,crème,1,A
paniermehl--steinpilz,steinpilz,paniermehl,1,A
grünkohl--steinpilz,steinpilz,grünkohl,1,A
joghurt--steinpilz,steinpilz,joghurt,1,A
gorgonzola--steinpilz,steinpilz,gorgonzola,1,A
kartoffel--steinpilz,steinpilz,kartoffel,1,A
garnele--pfeffer,garnele,pfeffer,2,A
garnele--zwiebel,garnele,zwiebel,1,A
cumin--garnele,garnele,cumin,1,A
garnele--olivenöl,garnele,olivenöl,2,A
garnele--gewürz,garnele,gewürz,1,A
garnele--limette,garnele,limette,1,A
garnele--gemüsebrühe,garnele,gemüsebrühe,1,A
garnele--knoblauch,garnele,knoblauch,2,A
garnele--mandel,garnele,mandel,1,A
garnele--zitrone,garnele,zitrone,1,A
garnele--nudeln,garnele,nudeln,1,A
garnele--zucker,garnele,zucker,1,A
garnele--salami,garnele,salami,1,A
chilischote--garnele,garnele,chilischote,1,A
garnele--grünkohl,garnele,grünkohl,2,A
garnele--piripiri,garnele,piripiri,1,A
garnele--kartoffel,garnele,kartoffel,1,A
dattel--staudensellerie,dattel,staudensellerie,1,A
dattel--milch,dattel,milch,1,A
dattel--honig,dattel,honig,1,A
amarant--dattel,dattel,amarant,1,A
dattel--olivenöl,dattel,olivenöl,1,A
aprikose--dattel,dattel,aprikose,1,A
avocado--dattel,dattel,avocado,2,A
dattel--früchte,dattel,früchte,1,A
dattel--haferflocken,dattel,haferflocken,1,A
dattel--tee,dattel,tee,1,A
dattel--ei,dattel,ei,1,A
dattel--matcha,dattel,matcha,1,A
apfelsaft--dattel,dattel,apfelsaft,1,A
dattel--erdbeeren,dattel,erdbeeren,1,A
dattel--ingwer,dattel,ingwer,1,A
dattel--kokosöl,dattel,kokosöl,1,A
dattel--feige,dattel,feige,1,A
chiasamen--dattel,dattel,chiasamen,1,A
banane--dattel,dattel,banane,4,A
dattel--vanille,dattel,vanille,1,A
dattel--grünkohl,dattel,grünkohl,4,A
dattel--orange,dattel,orange,1,A
beeren--dattel,dattel,beeren,1,A
kichererbsen--koriandergrün,kichererbsen,koriandergrün,1,A
hefe--kichererbsen,kichererbsen,hefe,1,A
kichererbsen--weizenmehl,kichererbsen,weizenmehl,1,A
honig--kichererbsen,kichererbsen,honig,1,A
cumin--kichererbsen,kichererbsen,cumin,2,A
kichererbsen--olivenöl,kichererbsen,olivenöl,3,A
kichererbsen--tomatenmark,kichererbsen,tomatenmark,1,A
kichererbsen--zimt,kichererbsen,zimt,1,A
apfelessig--kichererbsen,kichererbsen,apfelessig,1,A
kichererbsen--paprika,kichererbsen,paprika,1,A
cranberry--kichererbsen,kichererbsen,cranberry,1,A
kichererbsen--tofu,kichererbsen,tofu,1,A
avocado--kichererbsen,kichererbsen,avocado,2,A
frischkäse--kichererbsen,kichererbsen,frischkäse,1,A
kichererbsen--senfsamen,kichererbsen,senfsamen,1,A
kichererbsen--zitrone,kichererbsen,zitrone,4,A
estragon--kichererbsen,kichererbsen,estragon,1,A
karotte--kichererbsen,kichererbsen,karotte,1,A
kichererbsen--pinienkerne,kichererbsen,pinienkerne,1,A
gurke--kichererbsen,kichererbsen,gurke,1,A
butter--kichererbsen,kichererbsen,butter,1,A
hühnerbrust--kichererbsen,kichererbsen,hühnerbrust,1,A
kichererbsen--rotkohl,kichererbsen,rotkohl,1,A
grünkohl--kichererbsen,kichererbsen,grünkohl,6,A
chilischote--kichererbsen,kichererbsen,chilischote,1,A
kichererbsen--sesamöl,kichererbsen,sesamöl,1,A
kichererbsen--kokosmilch,kichererbsen,kokosmilch,2,A
kichererbsen--koriander,kichererbsen,koriander,2,A
kichererbsen--lorbeer,kichererbsen,lorbeer,1,A
kichererbsen--pfeffer,kichererbsen,pfeffer,4,A
kichererbsen--zwiebel,kichererbsen,zwiebel,3,A
kichererbsen--milch,kichererbsen,milch,1,A
bratwurst--kichererbsen,kichererbsen,bratwurst,1,A
kichererbsen--limette,kichererbsen,limette,1,A
kichererbsen--knoblauch,kichererbsen,knoblauch,5,A
gemüsebrühe--kichererbsen,kichererbsen,gemüsebrühe,2,A
kichererbsen--mayonnaise,kichererbsen,mayonnaise,1,A
kichererbsen--lauch,kichererbsen,lauch,1,A
ei--kichererbsen,kichererbsen,ei,1,A
cayennepfeffer--kichererbsen,kichererbsen,cayennepfeffer,1,A
kichererbsen--steckrübe,kichererbsen,steckrübe,1,A
curcuma--kichererbsen,kichererbsen,curcuma,1,A
kichererbsen--zucker,kichererbsen,zucker,1,A
curry--kichererbsen,kichererbsen,curry,2,A
ingwer--kichererbsen,kichererbsen,ingwer,1,A
kichererbsen--lauchzwiebel,kichererbsen,lauchzwiebel,1,A
kichererbsen--tomate,kichererbsen,tomate,1,A
kichererbsen--quinoa,kichererbsen,quinoa,1,A
kichererbsen--orange,kichererbsen,orange,1,A
basilikum--kichererbsen,kichererbsen,basilikum,1,A
kichererbsen--süßkartoffel,kichererbsen,süßkartoffel,1,A
bier--brokkoli,brokkoli,bier,1,A
brokkoli--sojasauce,brokkoli,sojasauce,1,A
brokkoli--weißwein,brokkoli,weißwein,1,A
brokkoli--paprikapulver,brokkoli,paprikapulver,1,A
brokkoli--kohlrabi,brokkoli,kohlrabi,1,A
brokkoli--olivenöl,brokkoli,olivenöl,1,A
brokkoli--fleischbrühe,brokkoli,fleischbrühe,1,A
brokkoli--radieschen,brokkoli,radieschen,1,A
