n,i-name,i-class,occ,sub
steinpilz,Steinpilz,veg,1,A
garnele,Garnele,fish,2,A
dattel,Dattel,fruit,4,A
kichererbsen,Kichererbsen,veg,6,A
brokkoli,Brokkoli,veg,4,A
dill,Dill,herb,3,A
weintrauben,Weintrauben,fruit,3,A
shiitake,Shiitake,veg,2,A
haferflocken,Haferflocken,carb,46,A
orangenschale,Orangenschale,fruit,2,A
balsamico,Balsamico,condi,12,A
joghurt,Joghurt,milk,11,A
shrimpsauce,Shrimpsauce,condi,1,A
räucherspeck,Räucherspeck,meat,23,A
curryblätter,Curryblätter,herb,1,A
spinat,Spinat,veg,13,A
teig,Teig,carb,4,A
wermut,Wermut,alc,1,A
nudeln,Nudeln,carb,40,A
orangensaft,Orangensaft,fruit,10,A
hanfsamen,Hanfsamen,etc,1,A
grapefruit,Grapefruit,fruit,1,A
salami,Salami,meat,6,A
schmalz,Schmalz,fat,41,A
sonnenblumenkerne,Sonnenblumenkerne,etc,7,A
maggi,Maggi,condi,5,A
provolone,Provolone,milk,1,A
backpulver,Backpulver,condi,5,A
leinsamen,Leinsamen,etc,1,A
walnuss,Walnuss,nuts,19,A
pastinake,Pastinake,veg,5,A
linsen,Linsen,veg,21,A
polenta,Polenta,carb,1,A
sternanis,Sternanis,spice,1,A
emmentaler,Emmentaler,milk,13,A
kalbfleisch,Kalbfleisch,meat,1,A
cranberry,Cranberry,fruit,7,A
frischkäse,Frischkäse,milk,9,A
ziegenfrischkäse,Ziegenfrischkäse,milk,2,A
chiliflocken,Chiliflocken,spice,15,A
lammfleisch,Lammfleisch,meat,2,A
ente,Ente,meat,7,A
clementine,Clementine,fruit,2,A
rotwein,Rotwein,alc,4,A
erdnussöl,Erdnussöl,fat,5,A
schmand,Schmand,milk,25,A
sauce,Sauce,condi,4,A
staudensellerie,Staudensellerie,veg,12,A
hokkaidokürbis,Hokkaidokürbis,veg,4,A
blüten,Blüten,veg,1,A
bohnen,Bohnen,veg,13,A
sahne,Sahne,milk,77,A
schweinsrippe,Schweinsrippe,meat,3,A
pekannuss,Pekannuss,nuts,2,A
wein,Wein,alc,34,A
pecorino,Pecorino,milk,3,A
sumach,Sumach,spice,1,A
grana_padano,Grana_padano,milk,3,A
fischsauce,Fischsauce,condi,1,A
ananas,Ananas,fruit,5,A
hartweizengrieß,Hartweizengrieß,carb,3,A
cumin,Cumin,spice,31,A
nierenfett,Nierenfett,fat,1,A
teigblätter,Teigblätter,carb,9,A
