n1,n2,id,weight,sub
A_e_pure
artischocke,senf,artischocke--senf,1,A
artischocke,austern,artischocke--austern,1,A
bratfett,nelke,bratfett--nelke,2,A
bratfett,weißkohl,bratfett--weißkohl,1,A
bratfett,wein,bratfett--wein,1,A
bratfett,rotkohl,bratfett--rotkohl,1,A
zwieback,fleischbrühe,fleischbrühe--zwieback,12,A
zwieback,sauerkraut,sauerkraut--zwieback,1,A
zwieback,hecht,hecht--zwieback,1,A
zwieback,schwarzwurzel,schwarzwurzel--zwieback,1,A
zwieback,speck,speck--zwieback,1,A
zwieback,endivien,endivien--zwieback,2,A
zwieback,sauerampfer,sauerampfer--zwieback,1,A
zwieback,schinken,schinken--zwieback,1,A
zwieback,schweineschmalz,schweineschmalz--zwieback,1,A
zwieback,brühe,brühe--zwieback,1,A
zwieback,gewürz,gewürz--zwieback,1,A
zwieback,ackerrettich,ackerrettich--zwieback,1,A
zwieback,weißbrot,weißbrot--zwieback,5,A
zwieback,kalbfleisch,kalbfleisch--zwieback,1,A
zwieback,rindfleisch,rindfleisch--zwieback,1,A
zwieback,gartenmelde,gartenmelde--zwieback,1,A
zwieback,nierenfett,nierenfett--zwieback,1,A
zwieback,beeren,beeren--zwieback,1,A
zwieback,hopfen,hopfen--zwieback,1,A
zwieback,rauchfleisch,rauchfleisch--zwieback,1,A
zwieback,krebs,krebs--zwieback,1,A
sauerampfer,weißbrot,sauerampfer--weißbrot,1,A
brühe,hafergrütze,brühe--hafergrütze,1,A
brühe,gewürz,brühe--gewürz,1,A
brühe,sauerkraut,brühe--sauerkraut,2,A
brühe,hecht,brühe--hecht,1,A
brühe,weißkohl,brühe--weißkohl,1,A
brühe,speck,brühe--speck,1,A
brühe,schweineschmalz,brühe--schweineschmalz,4,A
brühe,stielmus,brühe--stielmus,1,A
brühe,gänsefett,brühe--gänsefett,1,A
brühe,wacholder,brühe--wacholder,1,A
brühe,beeren,beeren--brühe,1,A
brühe,bratwurst,bratwurst--brühe,1,A
brühe,krebs,brühe--krebs,1,A
austern,senf,austern--senf,1,A
bratenjus,fleischbrühe,bratenjus--fleischbrühe,2,A
bratenjus,weißbrot,bratenjus--weißbrot,1,A
bratenjus,bratwurst,bratenjus--bratwurst,1,A
teltower_rüben,fleischbrühe,fleischbrühe--teltower_rüben,1,A
gelbe_erbsen,weißbrot,gelbe_erbsen--weißbrot,1,A
bratwurst,hafergrütze,bratwurst--hafergrütze,1,A
bratwurst,fleischbrühe,bratwurst--fleischbrühe,1,A
bratwurst,gänsefett,bratwurst--gänsefett,1,A
bratwurst,weißbrot,bratwurst--weißbrot,1,A
bratwurst,weißkohl,bratwurst--weißkohl,1,A
bratwurst,speck,bratwurst--speck,1,A
taube,nierenfett,nierenfett--taube,1,A
taube,weißbrot,taube--weißbrot,1,A
taube,stubenküken,stubenküken--taube,1,A
taube,rindfleisch,rindfleisch--taube,1,A
taube,krebs,krebs--taube,1,A
fleischbrühe,portulak,fleischbrühe--portulak,1,A
fleischbrühe,wurzeln,fleischbrühe--wurzeln,1,A
fleischbrühe,weinessig,fleischbrühe--weinessig,1,A
fleischbrühe,senf,fleischbrühe--senf,2,A
fleischbrühe,schwarzwurzel,fleischbrühe--schwarzwurzel,1,A
fleischbrühe,wirsing,fleischbrühe--wirsing,1,A
fleischbrühe,speck,fleischbrühe--speck,1,A
fleischbrühe,endivien,endivien--fleischbrühe,2,A
fleischbrühe,ottersberger_rüben,fleischbrühe--ottersberger_rüben,1,A
fleischbrühe,wein,fleischbrühe--wein,2,A
fleischbrühe,weißbrot,fleischbrühe--weißbrot,7,A
fleischbrühe,weißkohl,fleischbrühe--weißkohl,1,A
fleischbrühe,rindfleisch,fleischbrühe--rindfleisch,1,A
fleischbrühe,kalbfleisch,fleischbrühe--kalbfleisch,3,A
fleischbrühe,mairüben,fleischbrühe--mairüben,1,A
fleischbrühe,nierenfett,fleischbrühe--nierenfett,4,A
fleischbrühe,krebs,fleischbrühe--krebs,2,A
weinessig,wurzeln,weinessig--wurzeln,1,A
weinessig,birne,birne--weinessig,1,A
speck,hafergrütze,hafergrütze--speck,1,A
speck,weißbrot,speck--weißbrot,1,A
speck,weißkohl,speck--weißkohl,1,A
speck,wirsing,speck--wirsing,1,A
speck,ente,ente--speck,1,A
speck,gänsefett,gänsefett--speck,1,A
speck,saure_sahne,saure_sahne--speck,1,A
speck,schweineschmalz,schweineschmalz--speck,1,A
wirsing,ente,ente--wirsing,1,A
schinken,weißbrot,schinken--weißbrot,1,A
schinken,hering,hering--schinken,1,A
schinken,rindfleisch,rindfleisch--schinken,1,A
schinken,birne,birne--schinken,1,A
schinken,rauchfleisch,rauchfleisch--schinken,1,A
hafergrütze,gänsefett,gänsefett--hafergrütze,1,A
hafergrütze,weißkohl,hafergrütze--weißkohl,1,A
rindfleisch,weißbrot,rindfleisch--weißbrot,3,A
rindfleisch,weißkohl,rindfleisch--weißkohl,2,A
rindfleisch,nierenfett,nierenfett--rindfleisch,2,A
rindfleisch,stubenküken,rindfleisch--stubenküken,1,A
rindfleisch,rauchfleisch,rauchfleisch--rindfleisch,1,A
rindfleisch,krebs,krebs--rindfleisch,1,A
schmalz,saure_sahne,saure_sahne--schmalz,1,A
wacholder,sauerkraut,sauerkraut--wacholder,1,A
wacholder,schweineschmalz,schweineschmalz--wacholder,1,A
rauchfleisch,weißbrot,rauchfleisch--weißbrot,1,A
sauerkraut,gewürz,gewürz--sauerkraut,1,A
sauerkraut,hecht,hecht--sauerkraut,1,A
sauerkraut,schweinefleisch,sauerkraut--schweinefleisch,1,A
sauerkraut,schweineschmalz,sauerkraut--schweineschmalz,3,A
sauerkraut,beeren,beeren--sauerkraut,1,A
sauerkraut,krebs,krebs--sauerkraut,1,A
schweinefleisch,schweineschmalz,schweinefleisch--schweineschmalz,1,A
stielmus,schweineschmalz,schweineschmalz--stielmus,1,A
gänsefett,pinkelwurst,gänsefett--pinkelwurst,1,A
gänsefett,weißkohl,gänsefett--weißkohl,2,A
gänsefett,schweineschmalz,gänsefett--schweineschmalz,2,A
gänsefett,grünkohl,gänsefett--grünkohl,1,A
schweineschmalz,gewürz,gewürz--schweineschmalz,1,A
schweineschmalz,hecht,hecht--schweineschmalz,1,A
schweineschmalz,weißkohl,schweineschmalz--weißkohl,1,A
