n,i-name,i-class,occ,sub
artischocke,Artischocke,veg,1,A
ziegenfrischkäse,Ziegenfrischkäse,milk,3,B
schnittlauch,Schnittlauch,onion,10,B
petersilie,Petersilie,herb,32,AB
sonnenblumenöl,Sonnenblumenöl,fat,25,B
granatapfelsirup,Granatapfelsirup,sweet,1,B
koriander,Koriander,spice,17,B
bratfett,Bratfett,fat,3,A
sojasauce,Sojasauce,condi,21,B
minze,Minze,herb,15,B
salbei,Salbei,herb,2,B
gurke,Gurke,veg,9,AB
hibiskus,Hibiskus,herb,2,B
ingwer,Ingwer,spice,26,B
mangopickle,Mangopickle,condi,2,B
zwieback,Zwieback,carb,24,A
kokoscrème,Kokoscrème,fat,4,B
szechuanpfeffer,Szechuanpfeffer,spice,3,B
sauerampfer,Sauerampfer,herb,1,A
jalapeno,Jalapeno,spice,3,B
chipotle,Chipotle,spice,1,B
steinpilz,Steinpilz,veg,3,B
spargel,Spargel,veg,6,AB
piment,Piment,spice,3,AB
knollensellerie,Knollensellerie,veg,6,AB
zucchini,Zucchini,veg,1,B
weiße_bohnen,Weiße_Bohnen,veg,5,AB
brühe,Brühe,condi,5,A
majoran,Majoran,herb,1,B
cumin,Cumin,spice,24,B
hühnerbrühe,Hühnerbrühe,condi,8,B
olivenöl,Olivenöl,fat,95,B
crownprincekürbis,Crown_Prince_Kürbis,veg,1,B
pfirsich,Pfirsich,fruit,1,B
pecorino,Pecorino,milk,2,B
curcuma,Curcuma,spice,9,B
ancho,Ancho,spice,1,B
ackerrettich,Ackerrettich,veg,1,A
grüner_spargel,grüner_Spargel,veg,1,B
tofu,Tofu,etc,6,B
kardamom,Kardamom,spice,7,B
radieschen,Radieschen,veg,5,B
austern,Austern,fish,1,A
frischkäse,Frischkäse,milk,1,B
cayennepfeffer,Cayennepfeffer,spice,4,B
bratenjus,Bratenjus,condi,2,A
chilipaste,Chilipaste,spice,3,B
kimchi,Kimchi,condi,1,B
teltower_rüben,Teltower_Rüben,veg,1,A
sahne,Sahne,milk,19,AB
mangold,Mangold,veg,1,B
babyspinat,Babyspinat,veg,5,B
rote_bete,Rote_Bete,veg,1,B
gelbe_erbsen,Gelbe_Erbsen,veg,1,A
fischsauce,Fischsauce,condi,4,B
ahornsirup,Ahornsirup,sweet,21,B
hartweizengrieß,Hartweizengrieß,carb,1,B
graupen,Graupen,carb,2,B
dijonsenf,Dijonsenf,condi,3,B
süßkartoffel,Süßkartoffel,carb,2,B
stärke,Stärke,etc,22,AB
bratwurst,Bratwurst,meat,2,A
shiitake,Shiitake,veg,3,B
kümmel,Kümmel,spice,6,AB
oregano,Oregano,herb,3,B
miso,Miso,condi,5,B
taube,Taube,meat,1,A
fleischbrühe,Fleischbrühe,condi,30,A
steckrübe,Steckrübe,veg,5,AB
röstzwiebeln,Röstzwiebeln,onion,2,B
kokosmilch,Kokosmilch,fat,2,B
garam_masala,Garam_Masala,spice,1,B
sprossen,Sprossen,veg,1,B
pinienkerne,Pinienkerne,nuts,2,B
weinessig,Weinessig,condi,2,A
kohlrabi,Kohlrabi,veg,7,AB
lauch,Lauch,veg,2,AB
speck,Speck,meat,7,A
wirsing,Wirsing,veg,2,A
thymian,Thymian,herb,4,B
berbere,Berbere,spice,1,B
mascarpone,Mascarpone,milk,1,B
zucker,Zucker,sweet,36,AB
gemüsebrühe,Gemüsebrühe,condi,2,B
butternusskürbis,Butternusskürbis,veg,3,B
ente,Ente,meat,1,A
schinken,Schinken,meat,3,A
apfelessig,Apfelessig,condi,7,B
schwarze_bohnen,Schwarze_Bohnen,veg,1,B
cascabel,Cascabel,spice,3,B
brunnenkresse,Brunnenkresse,veg,1,B
ottersberger_rüben,Ottersberger_Rüben,veg,1,A
mozzarella,Mozzarella,milk,1,B
schweinsrippe,Schweinsrippe,meat,1,A
zwiebel,Zwiebel,onion,44,AB
tomatenmark,Tomatenmark,condi,13,B
spitzpaprika,Spitzpaprika,veg,3,B
ackerbohne,Ackerbohne,veg,1,A
geräuchertes_paprikapulver,Geräuchertes_Paprikapulver,spice,2,B
schafskäse,Schafskäse,milk,2,B
kürbiskern,Kürbiskern,nuts,2,B
kartoffel,Kartoffel,carb,43,AB
habanero,Habanero,spice,2,B
nudeln,Nudeln,carb,7,B
hafergrütze,Hafergrütze,carb,1,A
banane,Banane,fruit,1,B
curryblätter,Curryblätter,herb,6,B
hering,Hering,fish,2,A
dill,Dill,herb,12,B
tahina,Tahina,condi,5,B
butter,Butter,fat,117,AB
chilischote,Chilischote,spice,59,B
mango,Mango,fruit,1,B
rindfleisch,Rindfleisch,meat,4,A
aprikose,Aprikose,fruit,2,B
datteln,Datteln,fruit,1,B
olive,Olive,spice,5,B
sternanis,Sternanis,spice,3,B
mairüben,Mairüben,veg,1,A
gemüsegurke,Gemüsegurke,veg,1,A
schmalz,Schmalz,fat,1,A
kichererbsen,Kichererbsen,veg,4,B
wacholder,Wacholder,spice,1,A
auberginen,Aubergine,veg,8,B
tamarinde,Tamarinde,spice,6,B
breite_bohnen,Breite_Bohnen,veg,2,B
karotte,Karotte,veg,11,AB
basilikum,Basilikum,herb,10,B
reis,Reis,carb,6,B
rauchfleisch,Rauchfleisch,meat,1,A
staudensellerie,Staudensellerie,veg,2,B
rettich,Rettich,veg,2,B
mandarine,Mandarine,fruit,2,B
ricotta,Ricotta,milk,3,B
büffelmozzarella,Büffelmozzarella,milk,1,B
golden_syrup,Golden_Syrup,sweet,1,B
wurzeln,Wurzeln,veg,1,A
sauerkraut,Sauerkraut,veg,3,A
galgant,Galgant,spice,1,B
isot_biber,Isot_Biber,spice,3,B
pfeffer,Pfeffer,spice,21,AB
blumenkohl,Blumenkohl,veg,3,AB
linsen,Linsen,veg,3,AB
schwarzkohl,Schwarzkohl,veg,1,B
polenta,Polenta,carb,3,B
noriflocken,Noriflocken,spice,3,B
champignon,Champignon,veg,7,AB
hefe,Hefe,etc,2,AB
schweinefleisch,Schweinefleisch,meat,1,A
austernpilz,Austernpilz,veg,4,B
brokkoli,Brokkoli,veg,2,B
schwarzkümmel,Schwarzkümmel,spice,5,B
erdnussöl,Erdnussöl,fat,2,B
weizenmehl,Weizenmehl,carb,45,AB
stielmus,Stielmus,veg,2,A
couscous,Couscous,carb,1,B
rosenkohl,Rosenkohl,veg,3,AB
cataloupemelone,Cantaloupemelone,fruit,1,B
safran,Safran,spice,2,B
gänsefett,Gänsefett,fat,3,A
kaffirlimette,Kaffirlimette,herb,6,B
buttermilch,Buttermilch,milk,1,B
sultaninen,Sultaninen,fruit,2,AB
reisessig,Reisessig,condi,13,B
balsamico,Balsamico,condi,1,B
birne,Birne,fruit,2,A
schweineschmalz,Schweineschmalz,fat,9,A
salzmandeln,Salzmandeln,nuts,4,B
schwarzer_knoblauch,Schwarzer_Knoblauch,onion,4,B
choisum,Choi_sum,veg,1,B
sauerteigbrot,Sauerteigbrot,carb,2,B
gewürz,Gewürz,spice,1,A
knoblauch,Knoblauch,onion,86,B
crème_double,Crème_double,milk,1,B
grapefruit,Grapefruit,fruit,2,B
zimt,Zimt,spice,10,AB
paprikapulver,Paprikapulver,spice,6,B
erbsen,Erbsen,veg,6,AB
pilze,Pilze,veg,2,B
reiswein,Reiswein,alc,3,B
paniermehl,Paniermehl,carb,2,B
sherryessig,Sherryessig,condi,1,B
estragon,Estragon,herb,3,B
brot,Brot,carb,2,AB
sesam,Sesam,spice,21,B
gartenmelde,Gartenmelde,veg,1,A
milch,Milch,milk,16,AB
lauchzwiebel,Lauchzwiebel,onion,19,B
apfel,Apfel,fruit,6,AB
grüne_bohnen,Grüne_Bohnen,veg,12,AB
paprika,Paprika,veg,1,B
mohn,Mohn,spice,1,B
gruyère,Gruyère,milk,1,B
beeren,Beeren,fruit,1,A
eisbergsalat,Eisbergsalat,veg,1,B
hopfen,Hopfen,veg,1,A
mayonnaise,Mayonnaise,condi,1,B
sumach,Sumach,spice,1,B
stubenküken,Stubenküken,meat,2,A
worcester,Worcester,condi,1,B
zitrone,Zitrone,fruit,40,AB
rotwein,Rotwein,alc,1,B
feldsalat,Feldsalat,veg,1,B
fenchelsamen,Fenchelsamen,herb,1,B
krebs,Krebs,fish,8,A
mais,Mais,veg,4,B
topinambur,Topinambur,veg,1,B
portulak,Portulak,veg,1,A
marone,Marone,nuts,4,AB
maismehl,Maismehl,carb,2,B
erdnuss,Erdnuss,nuts,4,B
portobello,Portobello,veg,1,B
cashew,Cashew,nuts,1,B
hecht,Hecht,fish,1,A
spinat,Spinat,veg,3,AB
senf,Senf,condi,3,A
cheddar,Cheddar,milk,1,B
chiliflocken,Chiliflocken,spice,18,B
